index_name,doc_count,size_gb,health,category,status,quality,issues,action_required,notes
# === PRIMARY ENTITY INDICES (PRODUCTION) ===
cymonides_cc_domain_vertices,100662487,7.5,green,EDGE_GRAPH,PRODUCTION,HIGH,,"CC domain vertices"
cc_web_graph_edges,14965000,0.8,green,EDGE_GRAPH,PRODUCTION,HIGH,,"URL link graph"
entity_links,4750000,0.6,green,EDGE_ENTITY,PRODUCTION,HIGH,,"Entity relationships"
entity-mentions,3986616,0.8,green,EDGE_ENTITY,PRODUCTION,HIGH,,"Entity mentions in docs"
search_edges,2181328,0.4,yellow,EDGE_PROJECT,PRODUCTION,HIGH,YELLOW_HEALTH,"Project relationships"
onion-graph-edges,267760,0.04,yellow,EDGE_ONION,PRODUCTION,HIGH,YELLOW_HEALTH,"Dark web links"
et3-entity-edges,266571,0.01,green,EDGE_ET3,PRODUCTION,HIGH,,"ET3 entity links"
et3-url-edges,261763,0.02,green,EDGE_ET3,PRODUCTION,HIGH,,"ET3 URL links"
et3-jurisdiction-edges,51644,0.003,green,EDGE_ET3,PRODUCTION,HIGH,,"ET3 jurisdiction links"
et3-date-edges,11570,0.001,green,EDGE_ET3,PRODUCTION,HIGH,,"ET3 date links"
et3-source-edges,10623,0.002,green,EDGE_ET3,PRODUCTION,HIGH,,"ET3 source links"
et3-language-edges,28640,0.003,green,EDGE_ET3,PRODUCTION,HIGH,,"ET3 language links"
drill_links,2508,0.0,green,EDGE_PROJECT,PRODUCTION,HIGH,,"Discovery links"
nexus_edges,0,0.0,green,EDGE_NEXUS,EMPTY,N/A,EMPTY_INDEX,SKIP,"0 docs - not populated"
# === CORPUS/CONTENT INDICES ===
cymonides-2,13522401,45.3,green,CORPUS,PRODUCTION,HIGH,,"Main search corpus - HAS RAG EMBEDDINGS"
youtube_commons,151500,1.8,yellow,CORPUS,PRODUCTION,HIGH,YELLOW_HEALTH,"YouTube data"
library,1259,0.04,green,CORPUS,PRODUCTION,HIGH,,"Due diligence reports"
books,71,0.05,green,CORPUS,PRODUCTION,HIGH,,"Book library"
linklater_corpus,296,0.0,green,CORPUS,PRODUCTION,HIGH,,"Archive corpus"
soax-investigation,1959,0.02,green,CORPUS,PRODUCTION,HIGH,,"Investigation crawls"
# === DARK WEB INDICES ===
onion-pages,7468,0.05,green,ONION,PRODUCTION,CONTAMINATED,CONTAMINATED:persons/companies,"30-50% NER contamination - cross-validate"
onion-graph-nodes,4904,0.003,yellow,ONION,PRODUCTION,HIGH,YELLOW_HEALTH,"Dark web domain nodes"
onion-query-nodes,808,0.0,yellow,ONION,PRODUCTION,HIGH,YELLOW_HEALTH,"Onion query nodes"
tor-bridges,7006,0.002,green,ONION,PRODUCTION,HIGH,,"Tor bridge nodes"
# === DRILL PROJECT INDICES ===
drill_pages,830,0.01,green,PROJECT,PRODUCTION,CONTAMINATED,CONTAMINATED:persons/companies,"30-50% NER contamination - cross-validate"
drill_entities,4956,0.0,green,PROJECT,PRODUCTION,MEDIUM,MEDIUM_QUALITY,"Extracted entities - cross-validate"
# === IO MATRIX / METADATA ===
io,61067,0.02,green,METADATA,PRODUCTION,HIGH,,"IO Matrix main index"
io-matrix-sources,41899,0.01,green,METADATA,PRODUCTION,HIGH,,"IO source definitions"
io-matrix-codes,433,0.0,green,METADATA,PRODUCTION,HIGH,,"Entity/data type codes"
io-matrix-relationships,48,0.0,green,METADATA,PRODUCTION,HIGH,,"Relationship definitions"
io_routes,2390,0.002,yellow,METADATA,LEGACY,MEDIUM,YELLOW_HEALTH+LEGACY,"Legacy routes - may be superseded"
input_output_wiki_matrix,5009,0.002,green,METADATA,PRODUCTION,HIGH,,"Registry documentation"
# === EMBEDDING INDICES ===
category_embeddings,35480,0.6,green,EMBEDDING,PRODUCTION,HIGH,,"Category vectors (384-dim)"
matrix_type_embeddings,2461,0.02,green,EMBEDDING,PRODUCTION,HIGH,,"IO type vectors (384-dim)"
matrix_graph_routes,7471,0.07,green,EMBEDDING,PRODUCTION,HIGH,,"Route graph embeddings"
matrix_contrastive_routes,11835,0.09,green,EMBEDDING,PRODUCTION,HIGH,,"Contrastive route embeddings"
matrix_compositional,1027,0.008,green,EMBEDDING,PRODUCTION,HIGH,,"Compositional components"
matrix_arbitrage_paths,776,0.006,green,EMBEDDING,PRODUCTION,HIGH,,"Cross-jurisdiction paths"
matrix_route_edges,11214,0.002,green,EMBEDDING,PRODUCTION,HIGH,,"Route edges"
matrix_investigation_templates,10,0.0,green,EMBEDDING,PRODUCTION,HIGH,,"Investigation templates"
matrix_jurisdiction_transfer,69,0.002,green,EMBEDDING,PRODUCTION,HIGH,,"Jurisdiction transfer rules"
# === TEMPLATE/CONFIG INDICES ===
cymonides_bangs,20389,0.005,green,CONFIG,PRODUCTION,HIGH,,"Bang shortcuts"
template_engines,20389,0.008,green,CONFIG,PRODUCTION,HIGH,,"Search engine templates"
# === ET3 (EVENTS/TOPICS/THEMES) ===
et3-nodes,28640,0.2,green,ET3,PRODUCTION,HIGH,,"Events/topics/themes nodes"
# === NEXUS (CROSS-DOMAIN GRAPH) ===
nexus_nodes,698,0.0,yellow,NEXUS,INCOMPLETE,HIGH,YELLOW_HEALTH+INCOMPLETE,"Only 698 nodes - needs population"
nexus_breach_records,197668,0.09,yellow,NEXUS,PRODUCTION,HIGH,YELLOW_HEALTH,"Parsed breach records"
# === LINKEDIN AUXILIARY ===
affiliate_linkedin_companies,2851571,0.7,yellow,LINKEDIN,PRODUCTION,HIGH,YELLOW_HEALTH,"LinkedIn company data"
company_profiles,496,0.0,yellow,LINKEDIN,INCOMPLETE,HIGH,YELLOW_HEALTH+INCOMPLETE,"Only 496 profiles - cache"
# === PDF/DOCUMENT INDICES ===
finepdfs-corporate,1754959,0.6,green,DOCUMENT,PRODUCTION,HIGH,,"Corporate PDFs"
# === SMALL/AUXILIARY INDICES ===
indom,28485,0.01,yellow,AUXILIARY,PRODUCTION,HIGH,YELLOW_HEALTH,"Small domain set"
domains_complete,300,0.0,yellow,AUXILIARY,INCOMPLETE,HIGH,YELLOW_HEALTH+INCOMPLETE,"Only 300 complete records"
kazaword_emails,92416,0.2,green,AUXILIARY,PRODUCTION,HIGH,,"Email archive"
# === PROJECT-SPECIFIC INDICES (EPHEMERAL) ===
cymonides-1-project-cymonides-1-default-project,47005,0.03,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-project-cymonides-1-soax,15493,0.07,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-banan,12432,0.008,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-default-project,7648,0.007,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-investigation-alpha,5053,0.02,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-project-cymonides-1-proxy,6940,0.006,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-project-ge13t70tq8v0hw0h994z1v64,1722,0.02,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-project-cymonides-1-sastre,1346,0.007,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-aflma,242,0.0,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-brokkoli,184,0.0,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-alma,162,0.0,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-grid-scenario-suite-2026-01-02t22-08-06-158z,20,0.0,green,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,,"Project-specific"
cymonides-1-project-y2jbwbf21ogmh9jftdq3xwou,824,0.01,yellow,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,YELLOW_HEALTH,"Project-specific"
cymonides-1-project-i4kl5z0vlk9koo9116w7sgf2,777,0.002,yellow,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,YELLOW_HEALTH,"Project-specific"
cymonides-1-project-isexk7bbksstk8bt7gno3hmj,9,0.0,yellow,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,YELLOW_HEALTH,"Project-specific"
cymonides-1-test-enrichment-profile,9,0.0,yellow,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,YELLOW_HEALTH,"Project-specific"
cymonides-1-project-ucqujnnyfhdnreswuj21siyx,8,0.0,yellow,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,YELLOW_HEALTH,"Project-specific"
cymonides-1-test-persist-001,207,0.0,yellow,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,YELLOW_HEALTH,"Test index"
search_schema,239,0.0,yellow,CONFIG,PRODUCTION,HIGH,YELLOW_HEALTH,"Search schema"
drill-cns,1891,0.002,yellow,PROJECT_EPHEMERAL,EPHEMERAL,MEDIUM,YELLOW_HEALTH,"Project-specific"
cc_domain_filetypes,62,0.0,green,AUXILIARY,PRODUCTION,HIGH,,"Filetype metadata"
