unified_field,value_strategy,dedupe_method,rationale,example
breach_names,APPEND_ALL,EXACT,All breaches entity appeared in,"[LinkedIn2021, Collection1, HaveIBeenPwned]"
vertex_id,APPEND_ALL,EXACT,Graph vertex IDs from different graphs,"[cc_v123, atlas_v456]"
# === GEOSPATIAL FIELDS ===
geo_location,APPEND_ALL,GEO_PRECISION,"Keep all geo_points from all sources - different precision levels","[{lat:51.5,lon:-0.1,source:postcode}, {lat:51.507,lon:-0.127,source:nominatim}]"
location_hierarchy,APPEND_ALL,NONE,"Full hierarchy: Address -> City -> Region -> Country","[{level:address,value:'123 Main St'}, {level:city,value:'London'}]"
location_raw,APPEND_ALL,NONE,"Keep all raw location strings - helps semantic search","[London, Greater London, London UK, Londres]"
region,APPEND_ALL,NONE,"Keep all region names - different naming conventions","[Greater London, London, South East, SE England]"
county,APPEND_ALL,NONE,"Keep all county names","[GREATER LONDON, Greater London]"
district,APPEND_ALL,NONE,"Keep all district names","[Westminster, City of Westminster, WESTMINSTER]"
postcode,APPEND_ALL,NORMALIZE_POSTCODE,"Normalize UK postcodes but keep all","[SW1A 1AA, SW1A1AA, sw1a 1aa]"
coordinates_sources,APPEND_ALL,EXACT,"Track which sources provided coordinates","[ons_postcode, nominatim, wdc_schema, manual]"
# === TEMPORAL FIELDS ===
year,APPEND_ALL,EXACT,"Keep ALL years mentioned - content may span multiple years","[2019, 2020, 2021, 2022]"
decade,APPEND_ALL,EXACT,"Keep all decades - entity may be relevant across decades","[2010s, 2020s]"
era,APPEND_ALL,EXACT,"Keep all eras from strategic_embeddings","[post_2008, covid_era, post_covid]"
yearmonth,APPEND_ALL,EXACT,"Year-month combinations","[2024-01, 2024-02, 2024-03]"
published_date,APPEND_ALL,NONE,"Keep all publication dates from all sources","[2024-01-15, 2024-01-15T10:30:00Z, January 2024]"
founding_year,APPEND_ALL,EXACT,"Different sources report different founding years","[2010, 2011]"
breach_year,APPEND_ALL,EXACT,"All breach years associated with entity","[2019, 2021, 2023]"
content_years,APPEND_ALL,EXACT,"All years mentioned in content","[2018, 2019, 2020, 2021]"
period_start,APPEND_ALL,NONE,"All period start dates","[2019-01-01, 2020-01-01]"
period_end,APPEND_ALL,NONE,"All period end dates","[2021-12-31, 2022-12-31]"
temporal_focus,APPEND_ALL,EXACT,"historical/current/future classifications","[historical, current]"
date_proprietor_added,APPEND_ALL,NONE,"UK property registration dates","[2015-03-15, 2020-06-01]"
first_seen,APPEND_ALL,NONE,"All first-seen timestamps from different sources","[{source:wayback,date:2020-01-01}, {source:commoncrawl,date:2019-06-15}]"
last_seen,APPEND_ALL,NONE,"All last-seen timestamps from different sources","[{source:wayback,date:2024-01-01}, {source:crawl,date:2024-06-15}]"
